cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1661684654-PODAAC,20170328140000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_140000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:30:12Z,2017-09-08T14:02:45.733Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328140000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_140000-v02.0-fv01.0.nc,10.095531463623047,,Unspecified,2017-03-28T13:30:00.000Z,2017-03-28T14:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661684659-PODAAC,20170328150000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_150000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:30:14Z,2017-09-08T14:02:49.395Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328150000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_150000-v02.0-fv01.0.nc,10.032814025878906,,Unspecified,2017-03-28T14:30:00.000Z,2017-03-28T15:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661666027-PODAAC,20170328160000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_160000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T19:39:35Z,2017-09-08T14:06:10.623Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328160000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_160000-v02.0-fv01.0.nc,9.964357376098633,,Unspecified,2017-03-28T15:30:00.000Z,2017-03-28T16:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661677510-PODAAC,20170328170000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_170000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T19:57:33Z,2017-09-08T14:06:07.077Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328170000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_170000-v02.0-fv01.0.nc,9.9816312789917,,Unspecified,2017-03-28T16:30:00.000Z,2017-03-28T17:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685358-PODAAC,20170328180000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_180000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:46Z,2017-09-09T06:32:31.209Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328180000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_180000-v02.0-fv01.0.nc,10.00521183013916,,Unspecified,2017-03-28T17:30:00.000Z,2017-03-28T18:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661686380-PODAAC,20170328190000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_190000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:39:00Z,2017-09-09T06:32:28.726Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328190000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_190000-v02.0-fv01.0.nc,9.963940620422363,,Unspecified,2017-03-28T18:30:00.000Z,2017-03-28T19:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661686389-PODAAC,20170328200000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_200000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:39:04Z,2017-09-09T06:32:33.716Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328200000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_200000-v02.0-fv01.0.nc,9.940958976745605,,Unspecified,2017-03-28T19:30:00.000Z,2017-03-28T20:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661686386-PODAAC,20170328210000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_210000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:39:03Z,2017-09-09T06:32:33.981Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328210000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_210000-v02.0-fv01.0.nc,9.982128143310547,,Unspecified,2017-03-28T20:30:00.000Z,2017-03-28T21:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685353-PODAAC,20170328220000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_220000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:45Z,2017-09-09T06:32:28.714Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328220000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_220000-v02.0-fv01.0.nc,9.977655410766602,,Unspecified,2017-03-28T21:30:00.000Z,2017-03-28T22:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685365-PODAAC,20170328230000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_230000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:49Z,2017-09-09T06:32:34.813Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170328230000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170328_230000-v02.0-fv01.0.nc,10.022575378417969,,Unspecified,2017-03-28T22:30:00.000Z,2017-03-28T23:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661686383-PODAAC,20170329000000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_000000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:39:01Z,2017-09-09T06:32:29.114Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329000000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_000000-v02.0-fv01.0.nc,10.034429550170898,,Unspecified,2017-03-28T23:30:00.000Z,2017-03-29T00:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685350-PODAAC,20170329010000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_010000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:43Z,2017-09-09T06:32:27.721Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329010000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_010000-v02.0-fv01.0.nc,10.03481674194336,,Unspecified,2017-03-29T00:30:00.000Z,2017-03-29T01:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685361-PODAAC,20170329020000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_020000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:47Z,2017-09-09T06:32:31.953Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329020000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_020000-v02.0-fv01.0.nc,9.936375617980957,,Unspecified,2017-03-29T01:30:00.000Z,2017-03-29T02:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685306-PODAAC,20170329030000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_030000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:34Z,2017-09-09T06:28:53.070Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329030000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_030000-v02.0-fv01.0.nc,9.91757583618164,,Unspecified,2017-03-29T02:30:00.000Z,2017-03-29T03:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685870-PODAAC,20170329040000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_040000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:11Z,2017-09-09T06:28:52.721Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329040000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_040000-v02.0-fv01.0.nc,9.919692039489746,,Unspecified,2017-03-29T03:30:00.000Z,2017-03-29T04:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685865-PODAAC,20170329050000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_050000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:10Z,2017-09-09T06:28:52.233Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329050000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_050000-v02.0-fv01.0.nc,9.860065460205078,,Unspecified,2017-03-29T04:30:00.000Z,2017-03-29T05:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685874-PODAAC,20170329060000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_060000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:13Z,2017-09-09T06:28:54.385Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329060000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_060000-v02.0-fv01.0.nc,9.818284034729004,,Unspecified,2017-03-29T05:30:00.000Z,2017-03-29T06:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685347-PODAAC,20170329070000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_070000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:42Z,2017-09-09T06:28:56.848Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329070000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_070000-v02.0-fv01.0.nc,9.660979270935059,,Unspecified,2017-03-29T06:30:00.000Z,2017-03-29T07:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661665435-PODAAC,20170329080000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_080000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T19:38:07Z,2017-09-09T06:28:51.426Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329080000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_080000-v02.0-fv01.0.nc,9.654478073120117,,Unspecified,2017-03-29T07:30:00.000Z,2017-03-29T08:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685895-PODAAC,20170329090000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_090000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:17Z,2017-09-09T06:28:55.144Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329090000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_090000-v02.0-fv01.0.nc,9.609498023986816,,Unspecified,2017-03-29T08:30:00.000Z,2017-03-29T09:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685342-PODAAC,20170329100000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_100000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:41Z,2017-09-09T06:28:55.447Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329100000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_100000-v02.0-fv01.0.nc,9.63856315612793,,Unspecified,2017-03-29T09:30:00.000Z,2017-03-29T10:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685332-PODAAC,20170329110000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_110000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:39Z,2017-09-09T06:28:53.417Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329110000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_110000-v02.0-fv01.0.nc,9.818909645080566,,Unspecified,2017-03-29T10:30:00.000Z,2017-03-29T11:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685892-PODAAC,20170329120000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_120000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:16Z,2017-09-09T06:28:54.989Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329120000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_120000-v02.0-fv01.0.nc,9.954586029052734,,Unspecified,2017-03-29T11:30:00.000Z,2017-03-29T12:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685329-PODAAC,20170329130000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_130000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:38Z,2017-09-09T06:28:50.678Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329130000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_130000-v02.0-fv01.0.nc,10.099104881286621,,Unspecified,2017-03-29T12:30:00.000Z,2017-03-29T13:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685877-PODAAC,20170329140000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_140000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:36:14Z,2017-09-09T06:28:54.206Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329140000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_140000-v02.0-fv01.0.nc,10.156521797180176,,Unspecified,2017-03-29T13:30:00.000Z,2017-03-29T14:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681455-PODAAC,20170329150000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_150000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:56Z,2017-09-09T06:25:26.440Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329150000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_150000-v02.0-fv01.0.nc,10.126507759094238,,Unspecified,2017-03-29T14:30:00.000Z,2017-03-29T15:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681426-PODAAC,20170329160000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_160000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:48Z,2017-09-09T06:25:24.011Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329160000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_160000-v02.0-fv01.0.nc,10.096303939819336,,Unspecified,2017-03-29T15:30:00.000Z,2017-03-29T16:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685321-PODAAC,20170329170000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_170000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:35Z,2017-09-09T06:25:24.147Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329170000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_170000-v02.0-fv01.0.nc,10.08069896697998,,Unspecified,2017-03-29T16:30:00.000Z,2017-03-29T17:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681431-PODAAC,20170329180000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_180000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:50Z,2017-09-09T06:25:23.611Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329180000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_180000-v02.0-fv01.0.nc,10.071883201599121,,Unspecified,2017-03-29T17:30:00.000Z,2017-03-29T18:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681399-PODAAC,20170329190000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_190000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:41Z,2017-09-09T06:25:21.873Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329190000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_190000-v02.0-fv01.0.nc,10.08665657043457,,Unspecified,2017-03-29T18:30:00.000Z,2017-03-29T19:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681484-PODAAC,20170329200000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_200000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:11:07Z,2017-09-09T06:25:24.386Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329200000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_200000-v02.0-fv01.0.nc,10.126930236816406,,Unspecified,2017-03-29T19:30:00.000Z,2017-03-29T20:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681437-PODAAC,20170329210000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_210000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:51Z,2017-09-09T06:25:23.758Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329210000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_210000-v02.0-fv01.0.nc,10.161161422729492,,Unspecified,2017-03-29T20:30:00.000Z,2017-03-29T21:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681493-PODAAC,20170329220000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_220000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:11:10Z,2017-09-09T06:25:25.549Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329220000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_220000-v02.0-fv01.0.nc,10.22623062133789,,Unspecified,2017-03-29T21:30:00.000Z,2017-03-29T22:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681410-PODAAC,20170329230000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_230000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:44Z,2017-09-09T06:25:22.566Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170329230000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170329_230000-v02.0-fv01.0.nc,10.261797904968262,,Unspecified,2017-03-29T22:30:00.000Z,2017-03-29T23:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681310-PODAAC,20170330000000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_000000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:27Z,2017-09-09T06:25:22.511Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170330000000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_000000-v02.0-fv01.0.nc,10.263351440429688,,Unspecified,2017-03-29T23:30:00.000Z,2017-03-30T00:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661685326-PODAAC,20170330010000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_010000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:33:36Z,2017-09-09T06:25:25.672Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170330010000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_010000-v02.0-fv01.0.nc,10.301061630249023,,Unspecified,2017-03-30T00:30:00.000Z,2017-03-30T01:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681420-PODAAC,20170330020000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_020000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:47Z,2017-09-09T06:25:23.118Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170330020000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_020000-v02.0-fv01.0.nc,10.246362686157227,,Unspecified,2017-03-30T01:30:00.000Z,2017-03-30T02:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681488-PODAAC,20170330030000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_030000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:11:09Z,2017-09-09T06:25:23.789Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170330030000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_030000-v02.0-fv01.0.nc,10.306129455566406,,Unspecified,2017-03-30T02:30:00.000Z,2017-03-30T03:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
granule,G1661681405-PODAAC,20170330040000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_040000-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T20:10:42Z,2017-09-09T06:25:22.234Z,SEVIRI_IO_SST-OSISAF-L3C-v1.0,20170330040000-OSISAF-L3C_GHRSST-SSTsubskin-SEVIRI_IO_SST-ssteqc_meteosat08_20170330_040000-v02.0-fv01.0.nc,10.405269622802734,,Unspecified,2017-03-30T03:30:00.000Z,2017-03-30T04:30:00.000Z,-60.0,60.0,-18.5,101.5,"POLYGON ((101.5 -60, 101.5 60, -18.5 60, -18.5 -60, 101.5 -60))"
