cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1687166229-PODAAC,AQUA_MODIS.20020704_20020711.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:07:34Z,2019-12-26T18:25:18.873Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020704_20020711.L3m.8D.SST4.sst4.4km,20.20808219909668,,Unspecified,2002-07-04T00:00:00.000Z,2002-07-11T14:55:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162330-PODAAC,AQUA_MODIS.20020712_20020719.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:52Z,2019-12-26T15:08:55.091Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020712_20020719.L3m.8D.SST4.sst4.4km,20.482609748840332,,Unspecified,2002-07-12T00:00:00.000Z,2002-07-19T14:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163934-PODAAC,AQUA_MODIS.20020720_20020727.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:27Z,2019-12-26T15:08:32.995Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020720_20020727.L3m.8D.SST4.sst4.4km,20.811057090759277,,Unspecified,2002-07-20T00:00:00.000Z,2002-07-27T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687166015-PODAAC,AQUA_MODIS.20020728_20020804.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:05:53Z,2019-12-26T18:20:29.284Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020728_20020804.L3m.8D.SST4.sst4.4km,15.336956977844238,,Unspecified,2002-07-28T00:00:00.000Z,2002-07-29T20:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687164107-PODAAC,AQUA_MODIS.20020805_20020812.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:58:26Z,2019-12-26T19:06:44.053Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020805_20020812.L3m.8D.SST4.sst4.4km,19.981382369995117,,Unspecified,2002-08-05T00:00:00.000Z,2002-08-12T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162566-PODAAC,AQUA_MODIS.20020813_20020820.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:53:15Z,2019-12-26T17:50:03.115Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020813_20020820.L3m.8D.SST4.sst4.4km,21.317387580871582,,Unspecified,2002-08-13T00:00:00.000Z,2002-08-20T14:45:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165813-PODAAC,AQUA_MODIS.20020821_20020828.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:04:11Z,2019-12-26T18:10:18.636Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020821_20020828.L3m.8D.SST4.sst4.4km,21.758170127868652,,Unspecified,2002-08-21T00:00:00.000Z,2002-08-28T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687166009-PODAAC,AQUA_MODIS.20020829_20020905.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:05:49Z,2019-12-26T18:18:24.483Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020829_20020905.L3m.8D.SST4.sst4.4km,22.039143562316895,,Unspecified,2002-08-29T00:00:00.000Z,2002-09-05T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163917-PODAAC,AQUA_MODIS.20020906_20020913.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:22Z,2019-12-26T15:12:18.254Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020906_20020913.L3m.8D.SST4.sst4.4km,22.099793434143066,,Unspecified,2002-09-06T00:00:00.000Z,2002-09-13T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687164207-PODAAC,AQUA_MODIS.20020914_20020921.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:59:16Z,2019-12-26T15:09:14.470Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020914_20020921.L3m.8D.SST4.sst4.4km,22.006381034851074,,Unspecified,2002-09-14T00:00:00.000Z,2002-09-21T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165683-PODAAC,AQUA_MODIS.20020922_20020929.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:02:55Z,2019-12-26T18:15:41.149Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020922_20020929.L3m.8D.SST4.sst4.4km,22.09025478363037,,Unspecified,2002-09-22T00:00:00.000Z,2002-09-29T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162034-PODAAC,AQUA_MODIS.20020930_20021007.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:26Z,2019-12-26T14:34:02.040Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20020930_20021007.L3m.8D.SST4.sst4.4km,21.80794334411621,,Unspecified,2002-09-30T00:00:00.000Z,2002-10-07T14:44:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163926-PODAAC,AQUA_MODIS.20021008_20021015.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:24Z,2019-12-26T14:36:36.997Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021008_20021015.L3m.8D.SST4.sst4.4km,21.93017864227295,,Unspecified,2002-10-08T00:00:00.000Z,2002-10-15T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165863-PODAAC,AQUA_MODIS.20021016_20021023.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:04:41Z,2019-12-26T18:14:33.946Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021016_20021023.L3m.8D.SST4.sst4.4km,21.539463996887207,,Unspecified,2002-10-16T00:00:00.000Z,2002-10-23T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165558-PODAAC,AQUA_MODIS.20021024_20021031.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:01:50Z,2019-12-26T19:41:06.666Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021024_20021031.L3m.8D.SST4.sst4.4km,21.660346031188965,,Unspecified,2002-10-24T00:00:00.000Z,2002-10-31T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162166-PODAAC,AQUA_MODIS.20021101_20021108.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:38Z,2019-12-26T14:35:02.107Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021101_20021108.L3m.8D.SST4.sst4.4km,21.2806453704834,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-08T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163838-PODAAC,AQUA_MODIS.20021109_20021116.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:01Z,2019-12-26T14:35:06.739Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021109_20021116.L3m.8D.SST4.sst4.4km,20.92339038848877,,Unspecified,2002-11-09T00:00:00.000Z,2002-11-16T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165794-PODAAC,AQUA_MODIS.20021117_20021124.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:03:58Z,2019-12-26T18:17:12.707Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021117_20021124.L3m.8D.SST4.sst4.4km,21.010869026184082,,Unspecified,2002-11-17T00:00:00.000Z,2002-11-24T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162182-PODAAC,AQUA_MODIS.20021125_20021202.L3m.8D.SST4.sst4.4km,PODAAC,2,2020-03-05T13:17:38Z,2020-03-04T19:00:54.676Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021125_20021202.L3m.8D.SST4.sst4.4km,20.693198204040527,,Unspecified,2002-11-25T00:00:00.000Z,2002-12-02T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163841-PODAAC,AQUA_MODIS.20021203_20021210.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:02Z,2019-12-26T14:35:53.535Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021203_20021210.L3m.8D.SST4.sst4.4km,21.11460018157959,,Unspecified,2002-12-03T00:00:00.000Z,2002-12-10T14:20:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687166183-PODAAC,AQUA_MODIS.20021211_20021218.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:07:09Z,2019-12-26T14:36:13.234Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021211_20021218.L3m.8D.SST4.sst4.4km,21.1651029586792,,Unspecified,2002-12-11T00:00:00.000Z,2002-12-18T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687166040-PODAAC,AQUA_MODIS.20021219_20021226.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:06:07Z,2019-12-26T15:46:49.534Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021219_20021226.L3m.8D.SST4.sst4.4km,21.119285583496094,,Unspecified,2002-12-19T00:00:00.000Z,2002-12-26T14:19:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165575-PODAAC,AQUA_MODIS.20021227_20021231.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:01:59Z,2019-12-26T14:36:30.033Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20021227_20021231.L3m.8D.SST4.sst4.4km,18.88050365447998,,Unspecified,2002-12-27T00:00:00.000Z,2002-12-31T14:29:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163812-PODAAC,AQUA_MODIS.20030101_20030108.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:56:53Z,2019-12-26T13:59:00.508Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030101_20030108.L3m.8D.SST4.sst4.4km,21.28569507598877,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-08T13:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687166151-PODAAC,AQUA_MODIS.20030109_20030116.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:06:57Z,2019-12-26T14:01:18.937Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030109_20030116.L3m.8D.SST4.sst4.4km,21.588293075561523,,Unspecified,2003-01-09T00:00:00.000Z,2003-01-16T14:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165564-PODAAC,AQUA_MODIS.20030117_20030124.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:01:53Z,2019-12-26T13:59:55.124Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030117_20030124.L3m.8D.SST4.sst4.4km,21.905720710754395,,Unspecified,2003-01-17T00:00:00.000Z,2003-01-24T13:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163142-PODAAC,AQUA_MODIS.20030125_20030201.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:54:12Z,2019-12-26T19:32:53.656Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030125_20030201.L3m.8D.SST4.sst4.4km,21.53057098388672,,Unspecified,2003-01-25T00:00:00.000Z,2003-02-01T14:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165567-PODAAC,AQUA_MODIS.20030202_20030209.L3m.8D.SST4.sst4.4km,PODAAC,2,2020-03-05T13:17:41Z,2020-03-04T17:30:31.992Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030202_20030209.L3m.8D.SST4.sst4.4km,22.056017875671387,,Unspecified,2003-02-02T00:00:00.000Z,2003-02-09T14:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687162100-PODAAC,AQUA_MODIS.20030210_20030217.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:31Z,2019-12-26T17:30:07.269Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030210_20030217.L3m.8D.SST4.sst4.4km,22.112403869628906,,Unspecified,2003-02-10T00:00:00.000Z,2003-02-17T14:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163998-PODAAC,AQUA_MODIS.20030218_20030225.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:43Z,2019-12-26T18:22:37.293Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030218_20030225.L3m.8D.SST4.sst4.4km,21.64931297302246,,Unspecified,2003-02-18T00:00:00.000Z,2003-02-25T14:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165751-PODAAC,AQUA_MODIS.20030226_20030305.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:03:35Z,2019-12-26T13:59:47.237Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030226_20030305.L3m.8D.SST4.sst4.4km,21.482115745544434,,Unspecified,2003-02-26T00:00:00.000Z,2003-03-05T14:30:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163816-PODAAC,AQUA_MODIS.20030306_20030313.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:56:54Z,2019-12-26T14:01:40.134Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030306_20030313.L3m.8D.SST4.sst4.4km,21.74785041809082,,Unspecified,2003-03-06T00:00:00.000Z,2003-03-13T14:09:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163772-PODAAC,AQUA_MODIS.20030314_20030321.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:56:40Z,2019-12-26T13:59:29.189Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030314_20030321.L3m.8D.SST4.sst4.4km,21.93351459503174,,Unspecified,2003-03-14T00:00:00.000Z,2003-03-21T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163024-PODAAC,AQUA_MODIS.20030322_20030329.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:53:58Z,2019-12-26T19:30:13.071Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030322_20030329.L3m.8D.SST4.sst4.4km,22.098478317260742,,Unspecified,2003-03-22T00:00:00.000Z,2003-03-29T14:15:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687160834-PODAAC,AQUA_MODIS.20030330_20030406.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:50:55Z,2019-12-26T13:26:42.436Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030330_20030406.L3m.8D.SST4.sst4.4km,21.652368545532227,,Unspecified,2003-03-30T00:00:00.000Z,2003-04-06T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687161609-PODAAC,AQUA_MODIS.20030407_20030414.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:51:43Z,2019-12-26T17:54:20.399Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030407_20030414.L3m.8D.SST4.sst4.4km,21.905009269714355,,Unspecified,2003-04-07T00:00:00.000Z,2003-04-14T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687160880-PODAAC,AQUA_MODIS.20030415_20030422.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:50:56Z,2019-12-26T13:27:31.272Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030415_20030422.L3m.8D.SST4.sst4.4km,22.22053813934326,,Unspecified,2003-04-15T00:00:00.000Z,2003-04-22T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687160751-PODAAC,AQUA_MODIS.20030423_20030430.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:50:49Z,2019-12-26T13:25:10.432Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030423_20030430.L3m.8D.SST4.sst4.4km,21.689727783203125,,Unspecified,2003-04-23T00:00:00.000Z,2003-04-30T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687160794-PODAAC,AQUA_MODIS.20030501_20030508.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:50:53Z,2019-12-26T13:24:58.436Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030501_20030508.L3m.8D.SST4.sst4.4km,21.944425582885742,,Unspecified,2003-05-01T00:00:00.000Z,2003-05-08T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163972-PODAAC,AQUA_MODIS.20030509_20030516.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:36Z,2019-12-26T18:10:37.050Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030509_20030516.L3m.8D.SST4.sst4.4km,21.444456100463867,,Unspecified,2003-05-09T00:00:00.000Z,2003-05-16T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165500-PODAAC,AQUA_MODIS.20030517_20030524.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:01:28Z,2019-12-26T15:45:16.706Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030517_20030524.L3m.8D.SST4.sst4.4km,21.21424388885498,,Unspecified,2003-05-17T00:00:00.000Z,2003-05-24T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163848-PODAAC,AQUA_MODIS.20030525_20030601.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:05Z,2019-12-26T13:27:03.528Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030525_20030601.L3m.8D.SST4.sst4.4km,21.18202495574951,,Unspecified,2003-05-25T00:00:00.000Z,2003-06-01T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687161924-PODAAC,AQUA_MODIS.20030602_20030609.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:13Z,2019-12-26T13:26:57.560Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030602_20030609.L3m.8D.SST4.sst4.4km,21.216796875,,Unspecified,2003-06-02T00:00:00.000Z,2003-06-09T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163845-PODAAC,AQUA_MODIS.20030610_20030617.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:57:03Z,2019-12-26T13:26:30.871Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030610_20030617.L3m.8D.SST4.sst4.4km,20.7120943069458,,Unspecified,2003-06-10T00:00:00.000Z,2003-06-17T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163777-PODAAC,AQUA_MODIS.20030618_20030625.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:56:42Z,2019-12-26T13:25:50.079Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030618_20030625.L3m.8D.SST4.sst4.4km,20.705002784729004,,Unspecified,2003-06-18T00:00:00.000Z,2003-06-25T14:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687161913-PODAAC,AQUA_MODIS.20030626_20030703.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:52:12Z,2019-12-26T13:25:43.257Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030626_20030703.L3m.8D.SST4.sst4.4km,20.499401092529297,,Unspecified,2003-06-26T00:00:00.000Z,2003-07-03T14:14:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163419-PODAAC,AQUA_MODIS.20030704_20030711.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:55:05Z,2019-12-26T18:16:11.902Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030704_20030711.L3m.8D.SST4.sst4.4km,20.821861267089844,,Unspecified,2003-07-04T00:00:00.000Z,2003-07-11T14:59:58.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687165844-PODAAC,AQUA_MODIS.20030712_20030719.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T21:04:30Z,2019-12-26T12:52:56.778Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030712_20030719.L3m.8D.SST4.sst4.4km,20.779656410217285,,Unspecified,2003-07-12T00:00:00.000Z,2003-07-19T14:15:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687163449-PODAAC,AQUA_MODIS.20030720_20030727.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:55:13Z,2019-12-26T18:11:04.566Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030720_20030727.L3m.8D.SST4.sst4.4km,20.76462459564209,,Unspecified,2003-07-20T00:00:00.000Z,2003-07-27T15:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1687160558-PODAAC,AQUA_MODIS.20030728_20030804.L3m.8D.SST4.sst4.4km,PODAAC,1,2020-01-30T20:50:30Z,2019-12-26T12:51:46.577Z,MODIS_AQUA_L3_SST_MID-IR_8DAY_4KM_NIGHTTIME_V2019.0,AQUA_MODIS.20030728_20030804.L3m.8D.SST4.sst4.4km,20.98558235168457,,Unspecified,2003-07-28T00:00:00.000Z,2003-08-04T14:14:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
