cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1678938525-PODAAC,20120106071200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:18Z,2018-03-14T11:51:30.089Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106071200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,77.81449317932129,,Unspecified,2012-01-06T07:12:01.000Z,2012-01-06T07:17:59.000Z,50.665,78.951,-113.623,-23.203,"POLYGON ((-23.203 50.665, -23.203 78.95099999999999, -113.623 78.95099999999999, -113.623 50.665, -23.203 50.665))"
granule,G1678938589-PODAAC,20120106073000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:56Z,2018-03-14T11:52:08.699Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106073000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,90.36501979827881,,Unspecified,2012-01-06T07:30:01.000Z,2012-01-06T07:35:59.000Z,-8.451,16.459,-107.496,-75.188,"POLYGON ((-75.188 -8.451000000000001, -75.188 16.459, -107.496 16.459, -107.496 -8.451000000000001, -75.188 -8.451000000000001))"
granule,G1678938557-PODAAC,20120106075400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:40Z,2018-03-14T11:51:55.064Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106075400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,68.35595226287842,,Unspecified,2012-01-06T07:54:00.000Z,2012-01-06T07:59:58.000Z,-89.997,-59.841,-9.223,171.532,"POLYGON ((171.532 -89.997, 171.532 -59.841, -9.223000000000001 -59.841, -9.223000000000001 -89.997, 171.532 -89.997))"
granule,G1678938575-PODAAC,20120106075400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:47Z,2018-03-14T11:52:01.058Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106075400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.02816486358643,,Unspecified,2012-01-06T07:54:00.000Z,2012-01-06T07:59:58.000Z,-89.997,-59.841,-9.223,171.532,"POLYGON ((171.532 -89.997, 171.532 -59.841, -9.223000000000001 -59.841, -9.223000000000001 -89.997, 171.532 -89.997))"
granule,G1678938570-PODAAC,20120106083000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:44Z,2018-03-14T11:51:56.545Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106083000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,64.73939609527588,,Unspecified,2012-01-06T08:30:00.000Z,2012-01-06T08:35:58.000Z,14.953,40.047,48.72,85.357,"POLYGON ((85.357 14.953, 85.357 40.047, 48.72 40.047, 48.72 14.953, 85.357 14.953))"
granule,G1678938515-PODAAC,20120106085400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:11Z,2018-03-14T11:51:33.338Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106085400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,68.01245403289795,,Unspecified,2012-01-06T08:54:00.000Z,2012-01-06T08:59:59.000Z,49.171,77.258,-136.2,-52.084,"POLYGON ((-52.084 49.171, -52.084 77.258, -136.2 77.258, -136.2 49.171, -52.084 49.171))"
granule,G1678938517-PODAAC,20120106090600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:12Z,2018-03-14T11:51:34.256Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106090600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,81.0539321899414,,Unspecified,2012-01-06T09:06:00.000Z,2012-01-06T09:11:58.000Z,10.391,35.484,-128.871,-93.7,"POLYGON ((-93.7 10.391, -93.7 35.484, -128.871 35.484, -128.871 10.391, -93.7 10.391))"
granule,G1678938529-PODAAC,20120106093600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:21Z,2018-03-14T11:51:33.785Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106093600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,67.29673957824707,,Unspecified,2012-01-06T09:36:01.000Z,2012-01-06T09:41:59.000Z,-89.997,-60.968,-34.241,146.066,"POLYGON ((146.066 -89.997, 146.066 -60.968, -34.241 -60.968, -34.241 -89.997, 146.066 -89.997))"
granule,G1678938531-PODAAC,20120106093600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:22Z,2018-03-14T11:51:44.154Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106093600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,71.75156021118164,,Unspecified,2012-01-06T09:36:01.000Z,2012-01-06T09:41:59.000Z,-89.997,-60.968,-34.241,146.066,"POLYGON ((146.066 -89.997, 146.066 -60.968, -34.241 -60.968, -34.241 -89.997, 146.066 -89.997))"
granule,G1678938527-PODAAC,20120106095400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:19Z,2018-03-14T11:51:34.444Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106095400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,72.1849889755249,,Unspecified,2012-01-06T09:54:01.000Z,2012-01-06T09:59:59.000Z,-45.09,-19.843,39.833,79.061,"POLYGON ((79.06100000000001 -45.09, 79.06100000000001 -19.843, 39.833 -19.843, 39.833 -45.09, 79.06100000000001 -45.09))"
granule,G1678938537-PODAAC,20120106102400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:26Z,2018-03-14T11:51:46.538Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106102400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,74.21294498443604,,Unspecified,2012-01-06T10:24:00.000Z,2012-01-06T10:29:59.000Z,54.441,83.674,-30.675,84.522,"POLYGON ((84.52200000000001 54.441, 84.52200000000001 83.67400000000001, -30.675 83.67400000000001, -30.675 54.441, 84.52200000000001 54.441))"
granule,G1678938545-PODAAC,20120106102400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:32Z,2018-03-14T11:51:45.474Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106102400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,84.24521255493164,,Unspecified,2012-01-06T10:24:00.000Z,2012-01-06T10:29:59.000Z,54.441,83.674,-30.675,84.522,"POLYGON ((84.52200000000001 54.441, 84.52200000000001 83.67400000000001, -30.675 83.67400000000001, -30.675 54.441, 84.52200000000001 54.441))"
granule,G1678938533-PODAAC,20120106103000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:24Z,2018-03-14T11:51:36.712Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106103000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,80.61077213287354,,Unspecified,2012-01-06T10:30:01.000Z,2012-01-06T10:35:59.000Z,63.084,89.998,141.958,180.0,"POLYGON ((180 63.084, 180 89.998, 141.958 89.998, 141.958 63.084, 180 63.084))"
granule,G1678938513-PODAAC,20120106103600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:09Z,2018-03-14T11:51:23.183Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106103600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,65.62018775939941,,Unspecified,2012-01-06T10:36:00.000Z,2012-01-06T10:41:58.000Z,47.743,75.458,-159.251,-80.964,"POLYGON ((-80.964 47.743, -80.964 75.458, -159.251 75.458, -159.251 47.743, -80.964 47.743))"
granule,G1678938549-PODAAC,20120106104800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:35Z,2018-03-14T11:51:54.837Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106104800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,88.72464752197266,,Unspecified,2012-01-06T10:48:01.000Z,2012-01-06T10:53:59.000Z,8.636,33.702,-154.553,-119.862,"POLYGON ((-119.862 8.635999999999999, -119.862 33.702, -154.553 33.702, -154.553 8.635999999999999, -119.862 8.635999999999999))"
granule,G1678938585-PODAAC,20120106105400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:54Z,2018-03-14T11:52:04.796Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106105400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,91.2041654586792,,Unspecified,2012-01-06T10:54:00.000Z,2012-01-06T10:59:58.000Z,-11.896,13.008,-159.142,-126.899,"POLYGON ((-126.899 -11.896, -126.899 13.008, -159.142 13.008, -159.142 -11.896, -126.899 -11.896))"
granule,G1678938511-PODAAC,20120106111200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:08Z,2018-03-14T11:51:21.358Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106111200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.7656660079956,,Unspecified,2012-01-06T11:12:00.000Z,2012-01-06T11:17:58.000Z,-74.135,-46.487,156.593,180.0,"POLYGON ((180 -74.13500000000001, 180 -46.487, 156.593 -46.487, 156.593 -74.13500000000001, 180 -74.13500000000001))"
granule,G1678938580-PODAAC,20120106111200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:11:50Z,2018-03-14T11:52:03.712Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106111200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,74.7656660079956,,Unspecified,2012-01-06T11:12:00.000Z,2012-01-06T11:17:58.000Z,-74.135,-46.487,156.593,180.0,"POLYGON ((180 -74.13500000000001, 180 -46.487, 156.593 -46.487, 156.593 -74.13500000000001, 180 -74.13500000000001))"
granule,G1678987036-PODAAC,20120106111800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-30T02:23:40Z,2018-12-13T15:06:22.301Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106111800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,66.06617450714111,,Unspecified,2012-01-06T11:18:00.000Z,2012-01-06T11:23:59.000Z,-89.999,-61.969,-59.206,120.587,"POLYGON ((120.587 -89.999, 120.587 -61.969, -59.206 -61.969, -59.206 -89.999, 120.587 -89.999))"
granule,G1678987039-PODAAC,20120106111800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-30T02:23:41Z,2018-12-13T15:06:17.952Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106111800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,66.06617450714111,,Unspecified,2012-01-06T11:18:00.000Z,2012-01-06T11:23:59.000Z,-89.999,-61.969,-59.206,120.587,"POLYGON ((120.587 -89.999, 120.587 -61.969, -59.206 -61.969, -59.206 -89.999, 120.587 -89.999))"
granule,G1678938317-PODAAC,20120106112400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:12Z,2018-03-14T11:35:27.924Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106112400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,67.45022201538086,,Unspecified,2012-01-06T11:24:01.000Z,2012-01-06T11:29:59.000Z,-84.997,-55.326,-18.657,107.995,"POLYGON ((107.995 -84.997, 107.995 -55.326, -18.657 -55.326, -18.657 -84.997, 107.995 -84.997))"
granule,G1678938311-PODAAC,20120106113600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:08Z,2018-03-14T11:35:19.725Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106113600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,70.34318447113037,,Unspecified,2012-01-06T11:36:00.000Z,2012-01-06T11:41:59.000Z,-43.412,-18.122,14.222,52.698,"POLYGON ((52.698 -43.412, 52.698 -18.122, 14.222 -18.122, 14.222 -43.412, 52.698 -43.412))"
granule,G1678938309-PODAAC,20120106115400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:07Z,2018-03-14T11:35:09.132Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106115400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,68.15005397796631,,Unspecified,2012-01-06T11:54:00.000Z,2012-01-06T11:59:59.000Z,18.325,43.61,-3.998,34.072,"POLYGON ((34.072 18.325, 34.072 43.61, -3.998 43.61, -3.998 18.325, 34.072 18.325))"
granule,G1678938391-PODAAC,20120106121200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:56Z,2018-03-14T11:40:36.673Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106121200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,83.25042533874512,,Unspecified,2012-01-06T12:12:00.000Z,2012-01-06T12:17:59.000Z,62.06,89.998,117.028,180.0,"POLYGON ((180 62.06, 180 89.998, 117.028 89.998, 117.028 62.06, 180 62.06))"
granule,G1678938416-PODAAC,20120106121800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:11Z,2018-03-14T11:40:50.311Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106121800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,77.19350051879883,,Unspecified,2012-01-06T12:18:01.000Z,2012-01-06T12:23:59.000Z,46.183,73.655,177.173,180.0,"POLYGON ((180 46.183, 180 73.655, 177.173 73.655, 177.173 46.183, 180 46.183))"
granule,G1678938426-PODAAC,20120106122400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:18Z,2018-03-14T11:40:58.063Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106122400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,87.23149585723877,,Unspecified,2012-01-06T12:24:01.000Z,2012-01-06T12:29:58.000Z,27.115,52.762,-177.203,-134.284,"POLYGON ((-134.284 27.115, -134.284 52.762, -177.203 52.762, -177.203 27.115, -134.284 27.115))"
granule,G1678938386-PODAAC,20120106123000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:54Z,2018-03-14T11:40:35.205Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106123000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,88.4209213256836,,Unspecified,2012-01-06T12:30:00.000Z,2012-01-06T12:35:59.000Z,6.877,32.019,179.748,180.0,"POLYGON ((180 6.877, 180 32.019, 179.748 32.019, 179.748 6.877, 180 6.877))"
granule,G1678938412-PODAAC,20120106123600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:08Z,2018-03-14T11:40:49.882Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106123600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,76.6131706237793,,Unspecified,2012-01-06T12:36:01.000Z,2012-01-06T12:41:59.000Z,-13.676,11.228,174.995,180.0,"POLYGON ((180 -13.676, 180 11.228, 174.995 11.228, 174.995 -13.676, 180 -13.676))"
granule,G1678938319-PODAAC,20120106125400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:13Z,2018-03-14T11:35:54.810Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106125400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,73.39870166778564,,Unspecified,2012-01-06T12:54:01.000Z,2012-01-06T12:59:59.000Z,-75.931,-48.012,127.909,180.0,"POLYGON ((180 -75.931, 180 -48.012, 127.909 -48.012, 127.909 -75.931, 180 -75.931))"
granule,G1678938446-PODAAC,20120106125400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:32Z,2018-03-14T11:41:13.428Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106125400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,85.66197204589844,,Unspecified,2012-01-06T12:54:01.000Z,2012-01-06T12:59:59.000Z,-75.931,-48.012,127.909,180.0,"POLYGON ((180 -75.931, 180 -48.012, 127.909 -48.012, 127.909 -75.931, 180 -75.931))"
granule,G1678938366-PODAAC,20120106131200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:43Z,2018-03-14T11:40:24.207Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106131200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,76.13428783416748,,Unspecified,2012-01-06T13:12:01.000Z,2012-01-06T13:17:59.000Z,-62.382,-36.12,-10.762,42.553,"POLYGON ((42.553 -62.382, 42.553 -36.12, -10.762 -36.12, -10.762 -62.382, 42.553 -62.382))"
granule,G1678938409-PODAAC,20120106134800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:07Z,2018-03-14T11:40:49.808Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106134800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,71.71223831176758,,Unspecified,2012-01-06T13:48:01.000Z,2012-01-06T13:53:59.000Z,57.167,87.179,-90.3,55.299,"POLYGON ((55.299 57.167, 55.299 87.179, -90.3 87.179, -90.3 57.167, 55.299 57.167))"
granule,G1678938432-PODAAC,20120106134800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:23Z,2018-03-14T11:41:06.704Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106134800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,71.71223831176758,,Unspecified,2012-01-06T13:48:01.000Z,2012-01-06T13:53:59.000Z,57.167,87.179,-90.3,55.299,"POLYGON ((55.299 57.167, 55.299 87.179, -90.3 87.179, -90.3 57.167, 55.299 57.167))"
granule,G1678938414-PODAAC,20120106144200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:10Z,2018-03-14T11:40:49.928Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106144200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,64.4839506149292,,Unspecified,2012-01-06T14:42:00.000Z,2012-01-06T14:47:59.000Z,-89.998,-63.806,-109.455,69.716,"POLYGON ((69.71599999999999 -89.998, 69.71599999999999 -63.806, -109.455 -63.806, -109.455 -89.998, 69.71599999999999 -89.998))"
granule,G1678938422-PODAAC,20120106144800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:16Z,2018-03-14T11:40:57.209Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106144800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,72.92189693450928,,Unspecified,2012-01-06T14:48:01.000Z,2012-01-06T14:53:58.000Z,-81.505,-52.626,-55.246,48.923,"POLYGON ((48.923 -81.505, 48.923 -52.626, -55.246 -52.626, -55.246 -81.505, 48.923 -81.505))"
granule,G1678938441-PODAAC,20120106152400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:28Z,2018-03-14T11:41:21.138Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106152400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,73.105224609375,,Unspecified,2012-01-06T15:24:01.000Z,2012-01-06T15:29:58.000Z,41.243,67.961,-76.621,-15.749,"POLYGON ((-15.749 41.243, -15.749 67.961, -76.621 67.961, -76.621 41.243, -15.749 41.243))"
granule,G1678938455-PODAAC,20120106152400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:38Z,2018-03-14T11:41:28.280Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106152400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,73.105224609375,,Unspecified,2012-01-06T15:24:01.000Z,2012-01-06T15:29:58.000Z,41.243,67.961,-76.621,-15.749,"POLYGON ((-15.749 41.243, -15.749 67.961, -76.621 67.961, -76.621 41.243, -15.749 41.243))"
granule,G1678938434-PODAAC,20120106153600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:24Z,2018-03-14T11:41:13.217Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106153600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.29061603546143,,Unspecified,2012-01-06T15:36:00.000Z,2012-01-06T15:41:59.000Z,59.837,89.999,66.129,180.0,"POLYGON ((180 59.837, 180 89.999, 66.129 89.999, 66.129 59.837, 180 59.837))"
granule,G1678938378-PODAAC,20120106154200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:48Z,2018-03-14T11:40:28.825Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106154200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,69.21284675598145,,Unspecified,2012-01-06T15:42:01.000Z,2012-01-06T15:47:58.000Z,43.117,70.148,128.946,180.0,"POLYGON ((180 43.117, 180 70.148, 128.946 70.148, 128.946 43.117, 180 43.117))"
granule,G1678938369-PODAAC,20120106154800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:44Z,2018-09-16T14:36:20.824Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106154800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,72.121994972229,,Unspecified,2012-01-06T15:48:00.000Z,2012-01-06T15:53:58.000Z,23.787,49.269,131.664,172.444,"POLYGON ((172.444 23.787, 172.444 49.269, 131.664 49.269, 131.664 23.787, 172.444 23.787))"
granule,G1678938372-PODAAC,20120106155400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:46Z,2018-03-14T11:40:29.602Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106155400-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.5363597869873,,Unspecified,2012-01-06T15:54:00.000Z,2012-01-06T15:59:59.000Z,3.448,28.545,128.333,161.929,"POLYGON ((161.929 3.448, 161.929 28.545, 128.333 28.545, 128.333 3.448, 161.929 3.448))"
granule,G1678938418-PODAAC,20120106160000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:12Z,2018-03-14T11:40:50.660Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106160000-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.37120628356934,,Unspecified,2012-01-06T16:00:01.000Z,2012-01-06T16:05:58.000Z,-17.141,7.77,123.243,155.636,"POLYGON ((155.636 -17.141, 155.636 7.77, 123.243 7.77, 123.243 -17.141, 155.636 -17.141))"
granule,G1678938393-PODAAC,20120106160600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:57Z,2018-03-14T11:40:38.402Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106160600-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,64.21528625488281,,Unspecified,2012-01-06T16:06:00.000Z,2012-01-06T16:11:58.000Z,-37.797,-12.662,115.327,151.549,"POLYGON ((151.549 -37.797, 151.549 -12.662, 115.327 -12.662, 115.327 -37.797, 151.549 -37.797))"
granule,G1678938384-PODAAC,20120106161200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:09:53Z,2018-03-14T11:40:35.199Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106161200-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-N-v02.0-fv01.0.nc,74.18079471588135,,Unspecified,2012-01-06T16:12:00.000Z,2012-01-06T16:17:59.000Z,-58.611,-32.482,101.036,149.608,"POLYGON ((149.608 -58.611, 149.608 -32.482, 101.036 -32.482, 101.036 -58.611, 149.608 -58.611))"
granule,G1678938443-PODAAC,20120106161800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,PODAAC,1,2019-12-29T18:10:30Z,2018-03-14T11:41:13.275Z,VIIRS_NPP-JPL-L2P-v2016.0,20120106161800-JPL-L2P_GHRSST-SSTskin-VIIRS_NPP-D-v02.0-fv01.0.nc,69.2764196395874,,Unspecified,2012-01-06T16:18:01.000Z,2012-01-06T16:23:58.000Z,-79.424,-50.903,70.089,164.281,"POLYGON ((164.281 -79.42400000000001, 164.281 -50.903, 70.089 -50.903, 70.089 -79.42400000000001, 164.281 -79.42400000000001))"
