cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1440972496-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120921_v5.nc4,ORNL_DAAC,1,2017-11-28T17:31:19Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120921_v5.nc4,90.238274,,Both,2012-09-21T00:00:00.000Z,2012-09-21T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963525-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120922_v5.nc4,ORNL_DAAC,1,2017-11-28T17:04:15Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120922_v5.nc4,90.207502,,Both,2012-09-22T00:00:00.000Z,2012-09-22T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440958852-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120923_v5.nc4,ORNL_DAAC,1,2017-11-28T16:50:39Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120923_v5.nc4,90.156047,,Both,2012-09-23T00:00:00.000Z,2012-09-23T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972802-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120924_v5.nc4,ORNL_DAAC,1,2017-11-28T17:32:01Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120924_v5.nc4,90.08798,,Both,2012-09-24T00:00:00.000Z,2012-09-24T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963980-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120925_v5.nc4,ORNL_DAAC,1,2017-11-28T17:06:28Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120925_v5.nc4,90.026186,,Both,2012-09-25T00:00:00.000Z,2012-09-25T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440965611-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120926_v5.nc4,ORNL_DAAC,1,2017-11-28T17:11:17Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120926_v5.nc4,89.960036,,Both,2012-09-26T00:00:00.000Z,2012-09-26T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963766-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120927_v5.nc4,ORNL_DAAC,1,2017-11-28T17:05:29Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120927_v5.nc4,89.90673,,Both,2012-09-27T00:00:00.000Z,2012-09-27T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440971505-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120928_v5.nc4,ORNL_DAAC,1,2017-11-28T17:27:18Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120928_v5.nc4,90.697104,,Both,2012-09-28T00:00:00.000Z,2012-09-28T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972441-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120929_v5.nc4,ORNL_DAAC,1,2017-11-28T17:30:59Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120929_v5.nc4,90.312505,,Both,2012-09-29T00:00:00.000Z,2012-09-29T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972289-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120930_v5.nc4,ORNL_DAAC,1,2017-11-28T17:30:12Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20120930_v5.nc4,90.065448,,Both,2012-09-30T00:00:00.000Z,2012-09-30T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440967490-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121001_v5.nc4,ORNL_DAAC,1,2017-11-28T17:15:54Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121001_v5.nc4,89.907444,,Both,2012-10-01T00:00:00.000Z,2012-10-01T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440965147-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121002_v5.nc4,ORNL_DAAC,1,2017-11-28T17:10:22Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121002_v5.nc4,89.823287,,Both,2012-10-02T00:00:00.000Z,2012-10-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440962315-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121003_v5.nc4,ORNL_DAAC,1,2017-11-28T17:01:19Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121003_v5.nc4,89.763522,,Both,2012-10-03T00:00:00.000Z,2012-10-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440970678-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121004_v5.nc4,ORNL_DAAC,1,2017-11-28T17:25:08Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121004_v5.nc4,89.722512,,Both,2012-10-04T00:00:00.000Z,2012-10-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440970602-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121005_v5.nc4,ORNL_DAAC,1,2017-11-28T17:24:46Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121005_v5.nc4,89.678679,,Both,2012-10-05T00:00:00.000Z,2012-10-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440956637-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121006_v5.nc4,ORNL_DAAC,1,2017-11-28T16:44:49Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121006_v5.nc4,89.639176,,Both,2012-10-06T00:00:00.000Z,2012-10-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440964800-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121007_v5.nc4,ORNL_DAAC,1,2017-11-28T17:08:57Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121007_v5.nc4,89.601412,,Both,2012-10-07T00:00:00.000Z,2012-10-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963632-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121008_v5.nc4,ORNL_DAAC,1,2017-11-28T17:04:47Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121008_v5.nc4,89.575065,,Both,2012-10-08T00:00:00.000Z,2012-10-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440969964-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121009_v5.nc4,ORNL_DAAC,1,2017-11-28T17:22:25Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121009_v5.nc4,89.536824,,Both,2012-10-09T00:00:00.000Z,2012-10-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440961787-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121010_v5.nc4,ORNL_DAAC,1,2017-11-28T16:59:20Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121010_v5.nc4,89.503351,,Both,2012-10-10T00:00:00.000Z,2012-10-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440967771-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121011_v5.nc4,ORNL_DAAC,1,2017-11-28T17:16:35Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121011_v5.nc4,89.512859,,Both,2012-10-11T00:00:00.000Z,2012-10-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963162-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121012_v5.nc4,ORNL_DAAC,1,2017-11-28T17:03:26Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121012_v5.nc4,89.454232,,Both,2012-10-12T00:00:00.000Z,2012-10-12T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440959962-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121013_v5.nc4,ORNL_DAAC,1,2017-11-28T16:53:26Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121013_v5.nc4,89.42626,,Both,2012-10-13T00:00:00.000Z,2012-10-13T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440959550-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121014_v5.nc4,ORNL_DAAC,1,2017-11-28T16:52:02Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121014_v5.nc4,89.39184,,Both,2012-10-14T00:00:00.000Z,2012-10-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963718-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121014_v5.nc4,ORNL_DAAC,1,2017-11-28T17:05:18Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121014_v5.nc4,80.977562,,Both,2012-10-14T00:00:00.000Z,2012-10-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972527-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121014_v4.nc4,ORNL_DAAC,1,2017-11-28T17:31:29Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121014_v4.nc4,65.431911,,Both,2012-10-14T00:00:00.000Z,2012-10-14T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440969781-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121015_v5.nc4,ORNL_DAAC,1,2017-11-28T17:22:05Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121015_v5.nc4,89.347098,,Both,2012-10-15T00:00:00.000Z,2012-10-15T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440969860-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121015_v4.nc4,ORNL_DAAC,1,2017-11-28T17:22:13Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121015_v4.nc4,65.295181,,Both,2012-10-15T00:00:00.000Z,2012-10-15T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972852-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121015_v5.nc4,ORNL_DAAC,1,2017-11-28T17:32:06Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121015_v5.nc4,80.905272,,Both,2012-10-15T00:00:00.000Z,2012-10-15T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440958161-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121016_v5.nc4,ORNL_DAAC,1,2017-11-28T16:47:52Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121016_v5.nc4,127.668289,,Both,2012-10-16T00:00:00.000Z,2012-10-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440962136-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121016_v5.nc4,ORNL_DAAC,1,2017-11-28T17:00:52Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121016_v5.nc4,68.447166,,Both,2012-10-16T00:00:00.000Z,2012-10-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440962703-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121016_v4.nc4,ORNL_DAAC,1,2017-11-28T17:02:08Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121016_v4.nc4,65.262702,,Both,2012-10-16T00:00:00.000Z,2012-10-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440962825-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121016_v5.nc4,ORNL_DAAC,1,2017-11-28T17:02:28Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121016_v5.nc4,80.853352,,Both,2012-10-16T00:00:00.000Z,2012-10-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440967927-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121016_v5.nc4,ORNL_DAAC,1,2017-11-28T17:16:46Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121016_v5.nc4,89.299049,,Both,2012-10-16T00:00:00.000Z,2012-10-16T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440956166-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121017_v5.nc4,ORNL_DAAC,1,2017-11-28T16:43:00Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121017_v5.nc4,68.335397,,Both,2012-10-17T00:00:00.000Z,2012-10-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440960054-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121017_v5.nc4,ORNL_DAAC,1,2017-11-28T16:53:58Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121017_v5.nc4,89.242894,,Both,2012-10-17T00:00:00.000Z,2012-10-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963609-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121017_v5.nc4,ORNL_DAAC,1,2017-11-28T17:04:39Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121017_v5.nc4,127.661878,,Both,2012-10-17T00:00:00.000Z,2012-10-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440965084-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121017_v5.nc4,ORNL_DAAC,1,2017-11-28T17:10:03Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121017_v5.nc4,80.778773,,Both,2012-10-17T00:00:00.000Z,2012-10-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440969715-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121017_v4.nc4,ORNL_DAAC,1,2017-11-28T17:21:56Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121017_v4.nc4,65.410031,,Both,2012-10-17T00:00:00.000Z,2012-10-17T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440959436-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121018_v5.nc4,ORNL_DAAC,1,2017-11-28T16:51:52Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121018_v5.nc4,80.725899,,Both,2012-10-18T00:00:00.000Z,2012-10-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440961175-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121018_v4.nc4,ORNL_DAAC,1,2017-11-28T16:57:22Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121018_v4.nc4,65.366663,,Both,2012-10-18T00:00:00.000Z,2012-10-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440968486-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121018_v5.nc4,ORNL_DAAC,1,2017-11-28T17:18:41Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121018_v5.nc4,89.183583,,Both,2012-10-18T00:00:00.000Z,2012-10-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440971757-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121018_v5.nc4,ORNL_DAAC,1,2017-11-28T17:28:31Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121018_v5.nc4,68.3994,,Both,2012-10-18T00:00:00.000Z,2012-10-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440972179-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121018_v5.nc4,ORNL_DAAC,1,2017-11-28T17:29:46Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121018_v5.nc4,127.654796,,Both,2012-10-18T00:00:00.000Z,2012-10-18T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440963915-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121019_v5.nc4,ORNL_DAAC,1,2017-11-28T17:06:13Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Walnut_20121019_v5.nc4,89.104727,,Both,2012-10-19T00:00:00.000Z,2012-10-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440964885-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121019_v4.nc4,ORNL_DAAC,1,2017-11-28T17:09:04Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_DukeFr_20121019_v4.nc4,65.235987,,Both,2012-10-19T00:00:00.000Z,2012-10-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440967174-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121019_v5.nc4,ORNL_DAAC,1,2017-11-28T17:15:12Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Howlnd_20121019_v5.nc4,127.640414,,Both,2012-10-19T00:00:00.000Z,2012-10-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440968068-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121019_v5.nc4,ORNL_DAAC,1,2017-11-28T17:17:09Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Metoli_20121019_v5.nc4,80.751595,,Both,2012-10-19T00:00:00.000Z,2012-10-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1440968601-ORNL_DAAC,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121019_v5.nc4,ORNL_DAAC,1,2017-11-28T17:18:59Z,2016-12-15T00:00:00.000Z,AirMOSS_L4_RZ_Soil_Moisture_1421,AirMOSS_L4_RZ_Soil_Moisture.L4RZSM_Harvrd_20121019_v5.nc4,68.292095,,Both,2012-10-19T00:00:00.000Z,2012-10-19T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
